run_id,N,truth,rival,rival_response_share,a_T,a_R,mean_truth_share,prob_correct_consensus,prob_wrong_consensus,prob_polarization,observed_endpoint_accuracy,observed_outcome,truth_count,rival_count,valid_count
N32/all_gpt_4o/seed_0023,32,Germany,Yemen,0.549375,0.20278125000000002,0.24721875,0.5337460004924569,0.012527007516349421,0.008988760603832727,0.9784842318798087,1.0,correct_consensus,721,879,1600
N32/all_gpt_4o/seed_0037,32,Sierra Leone,Russia,0.59625,0.18168750000000003,0.2683125,0.48789537070305483,0.006286138660541187,0.018643958227388673,0.9750699031120599,0.0,polarization,646,954,1600
N32/all_gpt_4o/seed_0047,32,Hungary,Austria,0.625,0.16875,0.28125,0.45904655899858293,0.004021245807865046,0.02837808727175082,0.9676006669203735,0.0,polarization,600,1000,1600
N32/all_gpt_4o/seed_0044,32,Italy,Nigeria,0.71625,0.12768749999999998,0.32231250000000006,0.36320998844663976,0.0008565970880562825,0.09432196460387751,0.9048214383080567,0.0,polarization,454,1146,1600
N32/all_gpt_4o/seed_0007,32,Guinea,Mali,0.79,0.09449999999999999,0.35550000000000004,0.27999886350957526,0.0002089928459569424,0.21530358658151466,0.7844874205725186,0.34375,polarization,336,1264,1600
N64/all_gpt_4o/seed_0043,64,Austria,Yemen,0.008125,0.44634375,0.00365625,0.9937921773582081,0.9997875046284526,1.2781365594790401e-17,0.0002124953715729907,1.0,correct_consensus,3174,26,3200
N64/all_gpt_4o/seed_0002,64,Austria,Yemen,0.0084375,0.44620312500000003,0.0037968750000000003,0.9935531365406762,0.9997724277731032,1.3388440766890681e-17,0.00022757222692578892,1.0,correct_consensus,3173,27,3200
N64/all_gpt_4o/seed_0010,64,Nigeria,France,0.0625,0.421875,0.028125,0.9518792563197739,0.9729452008533789,1.1429002608511342e-15,0.0270547991466501,1.0,correct_consensus,3000,200,3200
N64/all_gpt_4o/seed_0039,64,Estonia,Yemen,0.0896875,0.409640625,0.040359375,0.9306718084135748,0.9252600869068808,1.4660870318369123e-14,0.07473991309313575,1.0,correct_consensus,2913,287,3200
N64/all_gpt_4o/seed_0015,64,Estonia,Yemen,0.09125,0.4089375,0.0410625,0.9294476932053752,0.9215996218911011,1.6982633000552228e-14,0.07840037810891447,1.0,correct_consensus,2908,292,3200
N64/all_gpt_4o/seed_0034,64,Mali,Guinea,0.13125,0.3909375,0.059062500000000004,0.8979073526053907,0.7951065284047024,5.683745918305166e-13,0.20489347159476115,0.8125,fragmentation,2780,420,3200
N64/all_gpt_4o/seed_0033,64,Nigeria,France,0.140625,0.38671875,0.06328125,0.8904570556171012,0.7576578942914528,1.1995733413915086e-12,0.24234210570738218,1.0,correct_consensus,2750,450,3200
N64/all_gpt_4o/seed_0005,64,Peru,Austria,0.14625,0.3841875,0.0658125,0.8859759918466394,0.7341432651086586,1.8539793702086942e-12,0.26585673488952033,1.0,correct_consensus,2732,468,3200
N64/all_gpt_4o/seed_0032,64,Belgium,Chad,0.1828125,0.367734375,0.082265625,0.8566444798312842,0.5703328029940968,2.5573642896701344e-11,0.42966719698036615,0.734375,polarization,2615,585,3200
N64/all_gpt_4o/seed_0027,64,Russia,Chad,0.184375,0.36703125000000003,0.08296875000000001,0.855382905111559,0.5631792786391592,2.8406471295814147e-11,0.43682072133247024,1.0,correct_consensus,2610,590,3200
N64/all_gpt_4o/seed_0014,64,Bulgaria,Nigeria,0.2046875,0.357890625,0.092109375,0.838920108384467,0.4715517478897929,1.0634478759617065e-10,0.5284482520038989,1.0,correct_consensus,2545,655,3200
N64/all_gpt_4o/seed_0042,64,Russia,Chad,0.22125,0.3504375,0.0995625,0.8254090561644536,0.40060303537197106,2.946070889580146e-10,0.5993969643334601,1.0,correct_consensus,2492,708,3200
N64/all_gpt_4o/seed_0038,64,Russia,Chad,0.23125,0.3459375,0.1040625,0.8172123386800222,0.36022601408881133,5.3291563656392e-10,0.6397739853783101,1.0,correct_consensus,2460,740,3200
N64/all_gpt_4o/seed_0006,64,Nigeria,France,0.25,0.3375,0.1125,0.8017620321766209,0.29063288001787463,1.5532478399707634e-09,0.7093671184289124,1.0,correct_consensus,2400,800,3200
N64/all_gpt_4o/seed_0024,64,Ukraine,Chad,0.26375,0.33131250000000007,0.1186875,0.7903625679915093,0.24520067763179618,3.297033427509136e-09,0.7547993190712009,0.09375,wrong_consensus,2356,844,3200
N64/all_gpt_4o/seed_0050,64,Luxembourg,Sierra Leone,0.2965625,0.316546875,0.133453125,0.7629130967792893,0.1567850831699604,1.8033025517204546e-08,0.8432148987970545,0.0,polarization,2251,949,3200
N64/all_gpt_4o/seed_0051,64,France,Peru,0.3125,0.309375,0.140625,0.7494503979304332,0.12361431364024074,3.936673431482452e-08,0.8763856469930672,0.703125,polarization,2200,1000,3200
N64/all_gpt_4o/seed_0004,64,France,Peru,0.328125,0.30234375,0.14765625000000002,0.7361657021981093,0.09668813384622536,8.248377194157807e-08,0.9033117836700382,0.890625,correct_consensus,2150,1050,3200
N64/all_gpt_4o/seed_0001,64,Chad,Guinea,0.355625,0.28996875,0.16003125,0.7125698692102865,0.06091543133844975,2.863586285531939e-07,0.9390842823029638,1.0,correct_consensus,2062,1138,3200
N64/all_gpt_4o/seed_0009,64,Lithuania,Bulgaria,0.3603125,0.287859375,0.16214062499999998,0.7085196596253441,0.05609451085397162,3.5161820285225523e-07,0.9439051375278651,0.609375,polarization,2047,1153,3200
N64/all_gpt_4o/seed_0049,64,Belgium,Guinea,0.4040625,0.268171875,0.181828125,0.6703008590144557,0.02470236518275989,2.1870388091057326e-06,0.9752954477784711,0.484375,polarization,1907,1293,3200
N64/all_gpt_4o/seed_0045,64,Gabon,Ukraine,0.404375,0.26803125000000005,0.18196874999999998,0.6700250663951431,0.024550117157160302,2.214569456372272e-06,0.9754476682734214,0.34375,polarization,1906,1294,3200
N64/all_gpt_4o/seed_0003,64,France,Peru,0.40625,0.2671875,0.18281250000000002,0.6683694491560885,0.023653876007705445,2.38681484809231e-06,0.9763437371774871,0.609375,polarization,1900,1300,3200
N64/all_gpt_4o/seed_0040,64,Lithuania,Bulgaria,0.4171875,0.262265625,0.187734375,0.6586819687458298,0.01897907282665375,3.6753275542201786e-06,0.9810172518458342,0.203125,polarization,1865,1335,3200
N64/all_gpt_4o/seed_0052,64,Gabon,Ukraine,0.4190625,0.261421875,0.188578125,0.6570161101422295,0.018265876016839044,3.954118845749612e-06,0.981730169864355,0.5,polarization,1859,1341,3200
N64/all_gpt_4o/seed_0008,64,France,Peru,0.421875,0.26015625000000003,0.18984375,0.6545144652932249,0.017240776356427897,4.410336122002062e-06,0.9827548133074906,0.578125,polarization,1850,1350,3200
N64/all_gpt_4o/seed_0023,64,Germany,Yemen,0.4721875,0.237515625,0.212484375,0.6091593817377627,0.005771983603290955,2.8338083169763918e-05,0.9941996783135822,1.0,correct_consensus,1689,1511,3200
N64/all_gpt_4o/seed_0047,64,Hungary,Bulgaria,0.490625,0.22921875000000003,0.22078124999999998,0.5922364235165685,0.0037558156435872703,5.3735513888249275e-05,0.9961904488425671,0.0,polarization,1630,1570,3200
N64/all_gpt_4o/seed_0018,64,Cote d'Ivoire,Nigeria,0.4909375,0.229078125,0.22092187500000002,0.591948120900049,0.0037280682836198305,5.4311442179461194e-05,0.9962176202742397,0.546875,polarization,1629,1571,3200
N64/all_gpt_4o/seed_0013,64,Gabon,Ukraine,0.5315625,0.210796875,0.23920312500000002,0.5540301413398222,0.0013694865211880643,0.00020645432050008737,0.9984240591583524,0.3125,polarization,1499,1701,3200
N64/all_gpt_4o/seed_0037,64,Sierra Leone,Russia,0.53375,0.20981250000000004,0.24018749999999997,0.5519628080548759,0.001294854219526396,0.0002212292626543908,0.9984839165178581,0.0,fragmentation,1492,1708,3200
N64/all_gpt_4o/seed_0048,64,Netherlands,Austria,0.5625,0.196875,0.253125,0.5245338781633528,0.0006075714462544231,0.0005349009852456668,0.9988575275685396,0.0,polarization,1400,1800,3200
N64/all_gpt_4o/seed_0041,64,Ireland,Cote d'Ivoire,0.595625,0.18196875,0.26803125,0.4923009646699202,0.00024242160297009016,0.0013966428145219612,0.9983609355825518,0.0,polarization,1294,1906,3200
N64/all_gpt_4o/seed_0044,64,Italy,Nigeria,0.6834375,0.14245312499999999,0.307546875,0.40308703119369627,1.648649881029406e-05,0.013345049525832337,0.9866384639753977,0.0,polarization,1013,2187,3200
N64/all_gpt_4o/seed_0020,64,Yemen,Austria,0.7053125,0.132609375,0.31739062500000004,0.37987964668109525,7.947360213952479e-06,0.02196315807718751,0.9780288945626331,0.078125,wrong_consensus,943,2257,3200
N64/all_gpt_4o/seed_0036,64,Guinea,Mali,0.788125,0.09534375000000002,0.35465625,0.28760814449300637,3.9455571415539854e-07,0.11425085091185652,0.8857487545324619,0.46875,polarization,678,2522,3200
N64/all_gpt_4o/seed_0007,64,Guinea,Mali,0.821875,0.08015625,0.36984375,0.24761546948313973,1.0283286208555682e-07,0.19979826935572936,0.8002016278114403,0.375,polarization,570,2630,3200
N128/all_gpt_4o/seed_0005,128,Peru,Chad,0.0,0.45,0.0,1.0000000000000129,1.0000000000000127,1.1246646401528536e-41,0.0,1.0,correct_consensus,6400,0,6400
N128/all_gpt_4o/seed_0043,128,Austria,Yemen,0.00984375,0.4455703125,0.0044296875000000005,0.9924962584035878,0.999999047522188,1.0466042861614337e-33,9.524778266707575e-07,1.0,correct_consensus,6337,63,6400
N128/all_gpt_4o/seed_0002,128,Austria,Yemen,0.010625,0.44521875,0.004781250000000001,0.9918998539890738,0.9999987599879318,1.1844346859931612e-33,1.2400120809612896e-06,1.0,correct_consensus,6332,68,6400
N128/all_gpt_4o/seed_0039,128,Estonia,Chad,0.011875,0.44465625000000003,0.00534375,0.9909453395123193,0.9999981567563253,1.4293967991425099e-33,1.843243692586818e-06,1.0,correct_consensus,6324,76,6400
N128/all_gpt_4o/seed_0015,128,Estonia,Yemen,0.07171875,0.4177265625,0.0322734375,0.9448512536158284,0.9930945107647231,3.8631422679276133e-29,0.006905489235294985,1.0,correct_consensus,5941,459,6400
N128/all_gpt_4o/seed_0010,128,Nigeria,France,0.109375,0.40078125000000003,0.04921875,0.9154287074375459,0.9453448280824756,8.026904792734574e-26,0.05465517191754669,1.0,correct_consensus,5700,700,6400
N128/all_gpt_4o/seed_0034,128,Mali,Guinea,0.14375,0.3853125,0.0646875,0.8882686161319739,0.8247017788878749,2.5173277314086128e-23,0.1752982211121509,0.5859375,polarization,5480,920,6400
N128/all_gpt_4o/seed_0033,128,Nigeria,France,0.1640625,0.376171875,0.07382812500000001,0.872077622881604,0.7169118390496078,5.167910102025834e-22,0.283088160950412,1.0,correct_consensus,5350,1050,6400
N128/all_gpt_4o/seed_0032,128,Belgium,Chad,0.1765625,0.37054687500000005,0.07945312500000001,0.8620596479707908,0.6414678581812207,2.9729874518148133e-21,0.3585321418188077,0.8046875,fragmentation,5270,1130,6400
N128/all_gpt_4o/seed_0038,128,Russia,Chad,0.1934375,0.362953125,0.08704687500000001,0.8484679677163642,0.5348703607864644,2.812490673505084e-20,0.46512963921356504,1.0,correct_consensus,5162,1238,6400
N128/all_gpt_4o/seed_0006,128,Nigeria,France,0.203125,0.35859375,0.09140625000000001,0.8406295750756233,0.4739029477505185,9.681629803793652e-20,0.5260970522495031,1.0,correct_consensus,5100,1300,6400
N128/all_gpt_4o/seed_0042,128,Russia,Chad,0.213125,0.35409375,0.09590625000000001,0.8325104035373806,0.41291533503900335,3.340231294715969e-19,0.5870846649610288,1.0,correct_consensus,5036,1364,6400
N128/all_gpt_4o/seed_0024,128,Ukraine,Chad,0.22515625,0.34867968750000006,0.10132031250000001,0.8227037403811408,0.34387070530372954,1.413779371754457e-18,0.6561292946963022,1.0,correct_consensus,4959,1441,6400
N128/all_gpt_4o/seed_0014,128,Bulgaria,Nigeria,0.2440625,0.340171875,0.109828125,0.8072067675878855,0.2484086870823739,1.2406524636180857e-17,0.7515913129176577,1.0,correct_consensus,4838,1562,6400
N128/all_gpt_4o/seed_0050,128,Luxembourg,Sierra Leone,0.304375,0.31303125,0.13696875,0.757024009646631,0.06547444691250814,6.563895593326135e-15,0.9345255530875035,0.0,polarization,4452,1948,6400
N128/all_gpt_4o/seed_0049,128,Belgium,Guinea,0.3675,0.284625,0.165375,0.7031714049647692,0.01035188756169771,1.971188556073658e-12,0.9896481124363409,0.4453125,polarization,4048,2352,6400
N128/all_gpt_4o/seed_0004,128,France,Peru,0.375,0.28125,0.16875,0.6966747691590458,0.00808066115910111,3.697197303648418e-12,0.9919193388372137,0.640625,polarization,4000,2400,6400
N128/all_gpt_4o/seed_0051,128,France,Peru,0.375,0.28125,0.16875,0.6966747691590458,0.00808066115910111,3.697197303648418e-12,0.9919193388372137,0.6875,polarization,4000,2400,6400
N128/all_gpt_4o/seed_0001,128,Chad,Guinea,0.37984375,0.2790703125,0.17092968749999998,0.6924673561235898,0.006864681766215619,5.5218300320526095e-12,0.9931353182282598,1.0,correct_consensus,3969,2431,6400
N128/all_gpt_4o/seed_0009,128,Lithuania,Bulgaria,0.4015625,0.269296875,0.180703125,0.67348656715656,0.0032074986492839196,3.182386583417945e-11,0.9967925013188916,0.4140625,polarization,3830,2570,6400
N128/all_gpt_4o/seed_0045,128,Gabon,Ukraine,0.4040625,0.268171875,0.181828125,0.6712893788540096,0.0029294867649620592,3.874572487971021e-11,0.9970705131962966,0.5078125,polarization,3814,2586,6400
N128/all_gpt_4o/seed_0040,128,Lithuania,Bulgaria,0.42671875,0.2579765625,0.1920234375,0.6512571554014744,0.0012518871702982782,2.2078484549666376e-10,0.9987481126089212,0.4375,polarization,3669,2731,6400
N128/all_gpt_4o/seed_0044,128,Italy,Peru,0.4365625,0.253546875,0.196453125,0.6424842841001087,0.0008516455738947199,4.59267410082636e-10,0.9991483539668226,0.0,polarization,3606,2794,6400
N128/all_gpt_4o/seed_0023,128,Germany,Yemen,0.44953125,0.24771093750000003,0.2022890625,0.6308601819232914,0.0005052997976055334,1.1803081110507999e-09,0.9994946990220855,1.0,correct_consensus,3523,2877,6400
N128/all_gpt_4o/seed_0003,128,France,Peru,0.453125,0.24609375,0.20390625,0.6276254612592116,0.0004359814265997962,1.5268127963515579e-09,0.9995640170465957,0.5234375,polarization,3500,2900,6400
N128/all_gpt_4o/seed_0008,128,France,Peru,0.453125,0.24609375,0.20390625,0.6276254612592116,0.0004359814265997962,1.5268127963515579e-09,0.9995640170465957,0.5234375,polarization,3500,2900,6400
N128/all_gpt_4o/seed_0052,128,Gabon,Ukraine,0.45359375,0.2458828125,0.20411718750000002,0.6272031009347149,0.0004276312910559654,1.5787382150290325e-09,0.999572367130214,0.359375,polarization,3497,2903,6400
N128/all_gpt_4o/seed_0018,128,Cote d'Ivoire,Nigeria,0.46625,0.24018749999999997,0.2098125,0.6157604733302771,0.0002516647981022103,3.850791273814137e-09,0.9997483313511053,0.5859375,polarization,3416,2984,6400
N128/all_gpt_4o/seed_0013,128,Gabon,Ukraine,0.5171875,0.217265625,0.23273437500000002,0.568909279816153,2.5512905148176398e-05,1.1270611306743676e-07,0.9999743743887322,0.3515625,polarization,3090,3310,6400
N128/all_gpt_4o/seed_0037,128,Sierra Leone,Nigeria,0.52921875,0.21185156250000003,0.23814843749999998,0.5576447561663518,1.433212742958365e-05,2.385884445694914e-07,0.999985429284125,0.0,polarization,3013,3387,6400
N128/all_gpt_4o/seed_0047,128,Hungary,Austria,0.53125,0.2109375,0.2390625,0.5557350592206738,1.2984884379123143e-05,2.703233116653354e-07,0.9999867447923129,0.0,polarization,3000,3400,6400
N128/all_gpt_4o/seed_0041,128,Ireland,Cote d'Ivoire,0.5553125,0.200109375,0.249890625,0.5329331542000744,3.913852585106766e-06,1.1429154725037444e-06,0.9999949432319362,0.0,polarization,2846,3554,6400
N128/all_gpt_4o/seed_0020,128,Yemen,Austria,0.655,0.15525,0.29475,0.4345040658514116,1.5008261446833337e-08,0.00021965616402932925,0.9997803288277276,0.0,polarization,2208,4192,6400
N128/all_gpt_4o/seed_0036,128,Guinea,Mali,0.789375,0.09478124999999998,0.35521875,0.2884937521902276,1.6014733344034988e-12,0.04277378676968073,0.9572262132287384,0.546875,polarization,1348,5052,6400
N128/all_gpt_4o/seed_0007,128,Guinea,Mali,0.79421875,0.09260156250000001,0.3573984375,0.28285351880637555,1.1066924285279e-12,0.04961837421292124,0.9503816257859983,0.4140625,polarization,1317,5083,6400
