pair_id,pair_key,truth_country,crop_path,crop_informativeness_label,crop_compatible_country_count,crop_compatible_countries,manual_notes,gpt_4o_choice_country,gpt_4o_reason,gpt_4o_exact_correct,gpt_4o_cache_crop_compatible,gpt_4o_auto_label,manual_gpt_4o_label,manual_gpt_4o_notes,gpt_5_4_choice_country,gpt_5_4_reason,gpt_5_4_exact_correct,gpt_5_4_cache_crop_compatible,gpt_5_4_auto_label,manual_gpt_5_4_label,manual_gpt_5_4_notes
guinea__idx067__t03_l10_h04_w06,guinea__idx067__t03_l10_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx067__t03_l10_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Chad,The flag of Chad has a vertical yellow stripe.,False,True,compatible,,,Ukraine,"The crop shows a solid yellow horizontal band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
guinea__idx087__t04_l11_h04_w06,guinea__idx087__t04_l11_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx087__t04_l11_h04_w06.png,unique,1,Guinea,,Lithuania,"The flag has a vertical green stripe next to a yellow field, similar to Lithuania's flag colors.",False,False,off_cache,,,Mali,"The crop shows vertical bands of yellow and green, matching the middle and right portions of Mali's green-yellow-red flag.",False,False,off_cache,,
guinea__idx092__t04_l16_h04_w06,guinea__idx092__t04_l16_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx092__t04_l16_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,"The flag of Nigeria has a green stripe, which matches the crop shown.",False,True,compatible,,,Nigeria,"The crop shows a solid green vertical band, which matches the left or right stripe of Nigeria's green-white-green flag.",False,True,compatible,,
guinea__idx111__t05_l16_h04_w06,guinea__idx111__t05_l16_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx111__t05_l16_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,The green color is a prominent feature of the Nigerian flag.,False,True,compatible,,,Nigeria,"The crop shows a solid green vertical band, matching the left or right stripe of Nigeria's green-white-green flag.",False,True,compatible,,
guinea__idx125__t06_l11_h04_w06,guinea__idx125__t06_l11_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx125__t06_l11_h04_w06.png,unique,1,Guinea,,Mali,"The flag has vertical stripes of green, yellow, and red.",False,False,off_cache,,,Mali,"The crop shows vertical bands of yellow and green, which matches the middle and right portions of Mali's green-yellow-red tricolor.",False,False,off_cache,,
guinea__idx130__t06_l16_h04_w06,guinea__idx130__t06_l16_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx130__t06_l16_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,"The flag of Nigeria has a green stripe, which matches the crop shown.",False,True,compatible,,,Nigeria,"The crop shows a solid green vertical band at the edge, matching the green-white-green layout of Nigeria.",False,True,compatible,,
guinea__idx141__t07_l08_h04_w06,guinea__idx141__t07_l08_h04_w06|3,Guinea,results/flag_game/visual_only_paired_crop_audit/artifacts/guinea__idx141__t07_l08_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Lithuania,"The flag of Lithuania has a yellow stripe, which matches the crop.",False,True,compatible,,,Ukraine,"The crop shows a solid yellow horizontal band, which matches the lower half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
guinea__idx232__t12_l04_h04_w06,guinea__idx232__t12_l04_h04_w06|3,Guinea,paper/figures/data/raw/visual_only_paired_crop_audit/artifacts/guinea__idx232__t12_l04_h04_w06.png,unique,1,Guinea,,Guinea,"The flag has vertical stripes of red and yellow, matching Guinea's flag colors.",True,True,correct,,,Belgium,"The crop shows two vertical bands, black/red on the left and yellow on the right, matching Belgium's black-yellow-red vertical tricolor with the black band likely cropped out.",False,False,off_cache,,
hungary__idx085__t04_l09_h04_w06,hungary__idx085__t04_l09_h04_w06|3,Hungary,results/flag_game/visual_only_paired_crop_audit/artifacts/hungary__idx085__t04_l09_h04_w06.png,moderate,6,Austria | Hungary | Luxembourg | Netherlands | Yemen | Sudan,,Yemen,"The flag has horizontal red and white stripes, similar to Yemen's flag.",False,True,compatible,,,Austria,"The crop shows two horizontal bands with red on top and white below, matching the upper portion of Austria's red-white-red flag.",False,True,compatible,,
hungary__idx178__t09_l07_h04_w06,hungary__idx178__t09_l07_h04_w06|3,Hungary,results/flag_game/visual_only_paired_crop_audit/artifacts/hungary__idx178__t09_l07_h04_w06.png,narrow,2,Hungary | Palestine,,Bulgaria,"The flag has horizontal white and green stripes, matching Bulgaria's flag.",False,False,off_cache,,,Nigeria,"The crop shows a horizontal white band over a green band, matching the visible portion of Nigeria's green-white-green vertical tricolor.",False,False,off_cache,,
hungary__idx228__t12_l00_h04_w06,hungary__idx228__t12_l00_h04_w06|3,Hungary,results/flag_game/visual_only_paired_crop_audit/artifacts/hungary__idx228__t12_l00_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,"The flag of Nigeria has a green stripe, which matches the crop shown.",False,True,compatible,,,Nigeria,"The crop shows a solid green vertical band, matching the left or right stripe of Nigeria's green-white-green flag.",False,True,compatible,,
ireland__idx035__t01_l16_h04_w06,ireland__idx035__t01_l16_h04_w06|3,Ireland,results/flag_game/visual_only_paired_crop_audit/artifacts/ireland__idx035__t01_l16_h04_w06.png,narrow,3,Armenia | Cote d'Ivoire | Ireland,,Armenia,The orange color is a part of the Armenian flag.,False,True,compatible,,,Ireland,"The crop shows a solid orange vertical band, which matches the right stripe of Ireland's green-white-orange tricolor.",True,True,correct,,
ireland__idx224__t11_l15_h04_w06,ireland__idx224__t11_l15_h04_w06|3,Ireland,results/flag_game/visual_only_paired_crop_audit/artifacts/ireland__idx224__t11_l15_h04_w06.png,unique,1,Ireland,,Cote d'Ivoire,The flag has vertical stripes with orange on the right side.,False,False,off_cache,,,Ireland,"The crop shows a vertical tricolor with white on the left and orange on the right, matching Ireland.",True,True,correct,,
ireland__idx228__t12_l00_h04_w06,ireland__idx228__t12_l00_h04_w06|3,Ireland,results/flag_game/visual_only_paired_crop_audit/artifacts/ireland__idx228__t12_l00_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,"The flag of Nigeria has a green stripe, which matches the crop shown.",False,True,compatible,,,Nigeria,The crop shows a solid green vertical band consistent with the green-white-green flag of Nigeria.,False,True,compatible,,
italy__idx025__t01_l06_h04_w06,italy__idx025__t01_l06_h04_w06|3,Italy,results/flag_game/visual_only_paired_crop_audit/artifacts/italy__idx025__t01_l06_h04_w06.png,narrow,3,Ireland | Italy | Nigeria,,Nigeria,"The flag has a vertical green stripe on the left, matching Nigeria's flag pattern.",False,True,compatible,,,Nigeria,"The crop shows two vertical bands, green on the hoist side and white in the center, matching Nigeria's green-white-green flag.",False,True,compatible,,
italy__idx191__t10_l01_h04_w06,italy__idx191__t10_l01_h04_w06|3,Italy,results/flag_game/visual_only_paired_crop_audit/artifacts/italy__idx191__t10_l01_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,"The flag of Nigeria has a green stripe, which matches the crop shown.",False,True,compatible,,,Nigeria,"The crop shows a solid green vertical band, matching one side of Nigeria's green-white-green flag.",False,True,compatible,,
lithuania__idx015__t00_l15_h04_w06,lithuania__idx015__t00_l15_h04_w06|3,Lithuania,results/flag_game/visual_only_paired_crop_audit/artifacts/lithuania__idx015__t00_l15_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Ukraine,"The flag of Ukraine has a yellow stripe, which matches the color seen in the crop.",False,True,compatible,,,Ukraine,"The crop shows a solid yellow horizontal band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
lithuania__idx076__t04_l00_h04_w06,lithuania__idx076__t04_l00_h04_w06|3,Lithuania,results/flag_game/visual_only_paired_crop_audit/artifacts/lithuania__idx076__t04_l00_h04_w06.png,unique,1,Lithuania,,Lithuania,"The flag has horizontal stripes of yellow and green, matching Lithuania's flag colors.",True,True,correct,,,Lithuania,"The flag crop shows two horizontal bands with yellow on top and green below, matching Lithuania's yellow-green-red tricolor.",True,True,correct,,
lithuania__idx137__t07_l04_h04_w06,lithuania__idx137__t07_l04_h04_w06|3,Lithuania,results/flag_game/visual_only_paired_crop_audit/artifacts/lithuania__idx137__t07_l04_h04_w06.png,narrow,2,Bulgaria | Lithuania,,Bulgaria,"The flag has a green stripe above a red stripe, similar to Bulgaria's flag.",False,True,compatible,,,Lithuania,"The crop shows a green field with a thin red stripe at the bottom, matching the middle and lower bands of Lithuania's horizontal yellow-green-red flag.",True,True,correct,,
lithuania__idx244__t12_l16_h04_w06,lithuania__idx244__t12_l16_h04_w06|3,Lithuania,results/flag_game/visual_only_paired_crop_audit/artifacts/lithuania__idx244__t12_l16_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Yemen,"The flag of Yemen contains a red stripe, which matches the crop shown.",False,True,compatible,,,Austria,The crop shows a solid red horizontal band consistent with the top or bottom stripe of Austria's red-white-red flag.,False,True,compatible,,
luxembourg__idx015__t00_l15_h04_w06,luxembourg__idx015__t00_l15_h04_w06|3,Luxembourg,results/flag_game/visual_only_paired_crop_audit/artifacts/luxembourg__idx015__t00_l15_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Austria,The flag of Austria has a prominent red color.,False,True,compatible,,,Austria,"The crop shows a solid red horizontal band, which matches the top or bottom stripe of Austria's red-white-red flag.",False,True,compatible,,
luxembourg__idx067__t03_l10_h04_w06,luxembourg__idx067__t03_l10_h04_w06|3,Luxembourg,results/flag_game/visual_only_paired_crop_audit/artifacts/luxembourg__idx067__t03_l10_h04_w06.png,moderate,6,Austria | Hungary | Luxembourg | Netherlands | Yemen | Sudan,,Austria,"The flag has two horizontal stripes, red on top and white on the bottom.",False,True,compatible,,,Yemen,"The flag shows three horizontal stripes with red on top and white in the middle, matching Yemen's red-white-black tricolor.",False,True,compatible,,
luxembourg__idx149__t07_l16_h04_w06,luxembourg__idx149__t07_l16_h04_w06|3,Luxembourg,results/flag_game/visual_only_paired_crop_audit/artifacts/luxembourg__idx149__t07_l16_h04_w06.png,unique,1,Luxembourg,,Sierra Leone,"The flag has a light blue stripe at the bottom, similar to Sierra Leone's flag.",False,False,off_cache,,,Luxembourg,"The crop shows a white horizontal band with a light blue band beneath it, matching the middle and bottom stripes of Luxembourg's flag.",True,True,correct,,
luxembourg__idx241__t12_l13_h04_w06,luxembourg__idx241__t12_l13_h04_w06|3,Luxembourg,results/flag_game/visual_only_paired_crop_audit/artifacts/luxembourg__idx241__t12_l13_h04_w06.png,narrow,2,Luxembourg | Bahamas,,Ukraine,The light blue color is part of the Ukrainian flag.,False,False,off_cache,,,Ukraine,"The crop shows a light blue horizontal band over a lighter lower band, matching the blue-over-yellow layout of Ukraine.",False,False,off_cache,,
mali__idx026__t01_l07_h04_w06,mali__idx026__t01_l07_h04_w06|3,Mali,results/flag_game/visual_only_paired_crop_audit/artifacts/mali__idx026__t01_l07_h04_w06.png,unique,1,Mali,,Mali,"The flag has vertical stripes of green, yellow, and red.",True,True,correct,,,Mali,"The crop shows vertical green and yellow bands, matching Mali's green-yellow-red tricolor.",True,True,correct,,
mali__idx032__t01_l13_h04_w06,mali__idx032__t01_l13_h04_w06|3,Mali,results/flag_game/visual_only_paired_crop_audit/artifacts/mali__idx032__t01_l13_h04_w06.png,narrow,3,Belgium | Chad | Mali,,Chad,"The flag has vertical stripes of blue, yellow, and red, similar to Chad's flag.",False,True,compatible,,,Belgium,"The crop shows two vertical bands, yellow and red, matching the middle and right stripes of Belgium's black-yellow-red flag.",False,True,compatible,,
mali__idx036__t01_l17_h04_w06,mali__idx036__t01_l17_h04_w06|3,Mali,results/flag_game/visual_only_paired_crop_audit/artifacts/mali__idx036__t01_l17_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Austria,The flag of Austria has a prominent red color.,False,True,compatible,,,Austria,"The crop shows a solid red horizontal band, which matches the top or bottom stripe of Austria's red-white-red flag.",False,True,compatible,,
mali__idx143__t07_l10_h04_w06,mali__idx143__t07_l10_h04_w06|3,Mali,results/flag_game/visual_only_paired_crop_audit/artifacts/mali__idx143__t07_l10_h04_w06.png,moderate,9,Belgium | Chad | Gabon | Germany | Guinea | Lithuania | Mali | Ukraine | Bahamas,,Ukraine,The flag of Ukraine has a yellow stripe.,False,True,compatible,,,Ukraine,"The crop shows a solid yellow band, which matches the bottom half of Ukraine's blue-over-yellow flag.",False,True,compatible,,
netherlands__idx027__t01_l08_h04_w06,netherlands__idx027__t01_l08_h04_w06|3,Netherlands,results/flag_game/visual_only_paired_crop_audit/artifacts/netherlands__idx027__t01_l08_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Austria,The flag of Austria has a prominent red color.,False,True,compatible,,,Austria,The crop shows a solid red horizontal band consistent with the top or bottom stripe of Austria's red-white-red flag.,False,True,compatible,,
netherlands__idx038__t02_l00_h04_w06,netherlands__idx038__t02_l00_h04_w06|3,Netherlands,results/flag_game/visual_only_paired_crop_audit/artifacts/netherlands__idx038__t02_l00_h04_w06.png,moderate,6,Austria | Hungary | Luxembourg | Netherlands | Yemen | Sudan,,Austria,"The flag has a horizontal red stripe, which matches Austria's flag.",False,True,compatible,,,Austria,"The crop shows a horizontal red-white-red tricolor, which matches the flag of Austria.",False,True,compatible,,
netherlands__idx179__t09_l08_h04_w06,netherlands__idx179__t09_l08_h04_w06|3,Netherlands,results/flag_game/visual_only_paired_crop_audit/artifacts/netherlands__idx179__t09_l08_h04_w06.png,narrow,2,Netherlands | Sierra Leone,,Russia,"The flag has horizontal white and blue stripes, matching Russia's flag.",False,False,off_cache,,,Russia,"The crop shows a horizontal tricolor with white on top and blue in the middle, matching Russia's white-blue-red flag.",False,False,off_cache,,
nigeria__idx148__t07_l15_h04_w06,nigeria__idx148__t07_l15_h04_w06|3,Nigeria,results/flag_game/visual_only_paired_crop_audit/artifacts/nigeria__idx148__t07_l15_h04_w06.png,narrow,2,Cote d'Ivoire | Nigeria,,Nigeria,"The flag has vertical stripes of green, white, and green.",True,True,correct,,,Nigeria,"The crop shows a vertical tricolor with white on the left and green in the center, matching Nigeria's green-white-green flag.",True,True,correct,,
nigeria__idx190__t10_l00_h04_w06,nigeria__idx190__t10_l00_h04_w06|3,Nigeria,results/flag_game/visual_only_paired_crop_audit/artifacts/nigeria__idx190__t10_l00_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,"The flag of Nigeria has a green stripe, which matches the crop shown.",True,True,correct,,,Nigeria,"The crop shows a solid green vertical band on the side, matching the green-white-green vertical tricolor of Nigeria.",True,True,correct,,
palestine__idx006__t00_l06_h04_w06,palestine__idx006__t00_l06_h04_w06|3,Palestine,results/flag_game/visual_only_paired_crop_audit/artifacts/palestine__idx006__t00_l06_h04_w06.png,moderate,7,Belgium | Estonia | Germany | Yemen | Bahamas | Palestine | Sudan,,Estonia,"The flag of Estonia has a black stripe, which matches the crop.",False,True,compatible,,,France,"The crop appears uniformly dark, which is consistent with the blue vertical band at the hoist side of France's flag.",False,False,off_cache,,
palestine__idx102__t05_l07_h04_w06,palestine__idx102__t05_l07_h04_w06|3,Palestine,results/flag_game/visual_only_paired_crop_audit/artifacts/palestine__idx102__t05_l07_h04_w06.png,unique,1,Palestine,,Palestine,The flag has a red triangle on the left side.,True,True,correct,,,Czech Republic,"The crop shows a white-over-red horizontal bicolor with a triangular wedge at the hoist, matching the Czech Republic flag.",False,False,off_cache,,
palestine__idx149__t07_l16_h04_w06,palestine__idx149__t07_l16_h04_w06|3,Palestine,results/flag_game/visual_only_paired_crop_audit/artifacts/palestine__idx149__t07_l16_h04_w06.png,narrow,2,Hungary | Palestine,,Nigeria,"The flag has a green stripe at the bottom, similar to Nigeria's flag.",False,False,off_cache,,,Nigeria,"The crop shows a white central vertical area with green at the edge, matching Nigeria's green-white-green vertical tricolor.",False,False,off_cache,,
palestine__idx236__t12_l08_h04_w06,palestine__idx236__t12_l08_h04_w06|3,Palestine,results/flag_game/visual_only_paired_crop_audit/artifacts/palestine__idx236__t12_l08_h04_w06.png,ambiguous,13,Bulgaria | Cote d'Ivoire | Gabon | Guinea | Hungary | Ireland | Italy | Lithuania | Mali | Nigeria | Sierra Leone | Palestine | Sudan,,Nigeria,"The flag of Nigeria has a green stripe, which matches the crop shown.",False,True,compatible,,,Nigeria,The crop shows a solid green vertical band consistent with the left stripe of Nigeria's green-white-green flag.,False,True,compatible,,
peru__idx000__t00_l00_h04_w06,peru__idx000__t00_l00_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx000__t00_l00_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Armenia,The flag of Armenia contains a prominent red stripe.,False,True,compatible,,,Austria,The crop shows a solid red horizontal band consistent with the top stripe of Austria's red-white-red flag.,False,True,compatible,,
peru__idx002__t00_l02_h04_w06,peru__idx002__t00_l02_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx002__t00_l02_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Austria,The flag of Austria has a prominent red color.,False,True,compatible,,,Austria,"The crop shows a solid red horizontal band, which matches the top or bottom stripe of Austria's red-white-red flag.",False,True,compatible,,
peru__idx014__t00_l14_h04_w06,peru__idx014__t00_l14_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx014__t00_l14_h04_w06.png,narrow,3,France | Italy | Peru,,Peru,The flag has vertical stripes of white and red.,True,True,correct,,,Peru,"The crop shows a vertical white band next to a vertical red band, matching Peru's red-white-red flag.",True,True,correct,,
peru__idx018__t00_l18_h04_w06,peru__idx018__t00_l18_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx018__t00_l18_h04_w06.png,ambiguous,20,Armenia | Austria | Belgium | Bulgaria | Chad | France | Germany | Guinea | Hungary | Italy | Lithuania | Luxembourg | Mali | Netherlands | Peru | Russia | Yemen | Czech Republic | Palestine | Sudan,,Austria,"The flag of Austria has a red stripe, which matches the crop.",False,True,compatible,,,Peru,"The crop shows a solid red vertical field, which matches one side stripe of Peru's red-white-red flag.",True,True,correct,,
peru__idx025__t01_l06_h04_w06,peru__idx025__t01_l06_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx025__t01_l06_h04_w06.png,unique,1,Peru,,Peru,The flag has a vertical red and white stripe pattern similar to Peru's flag.,True,True,correct,,,Peru,"The crop shows a vertical red band next to a white band, matching the left and center portions of Peru's red-white-red flag.",True,True,correct,,
peru__idx067__t03_l10_h04_w06,peru__idx067__t03_l10_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx067__t03_l10_h04_w06.png,ambiguous,18,Austria | Bulgaria | Cote d'Ivoire | Estonia | France | Hungary | Ireland | Italy | Luxembourg | Netherlands | Nigeria | Peru | Russia | Sierra Leone | Yemen | Czech Republic | Palestine | Sudan,,Nigeria,"The flag crop shows a vertical green stripe, which is part of Nigeria's flag.",False,True,compatible,,,Russia,"The crop shows a plain white horizontal band at the top, which best matches the top stripe of Russia's white-blue-red flag among the allowed options.",False,True,compatible,,
peru__idx079__t04_l03_h04_w06,peru__idx079__t04_l03_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx079__t04_l03_h04_w06.png,unique,1,Peru,,Austria,The flag has a red and white color scheme similar to Austria's flag.,False,False,off_cache,,,Peru,"The crop shows a vertical red-white-red tricolor, which matches Peru among the allowed countries.",True,True,correct,,
peru__idx091__t04_l15_h04_w06,peru__idx091__t04_l15_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx091__t04_l15_h04_w06.png,narrow,3,France | Italy | Peru,,Austria,The flag has a red and white vertical stripe pattern similar to Austria's flag.,False,False,off_cache,,,Peru,"The crop shows a vertical white band next to a red field, matching Peru's red-white-red vertical tricolor.",True,True,correct,,
peru__idx120__t06_l06_h04_w06,peru__idx120__t06_l06_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx120__t06_l06_h04_w06.png,unique,1,Peru,,Peru,The flag has a vertical red and white stripe pattern.,True,True,correct,,,Peru,"The crop shows two vertical bands, red on the left and white in the center, matching the left and middle sections of Peru's red-white-red flag.",True,True,correct,,
peru__idx121__t06_l07_h04_w06,peru__idx121__t06_l07_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx121__t06_l07_h04_w06.png,unique,1,Peru,,Peru,"The flag has a vertical red stripe on the left side, similar to Peru's flag.",True,True,correct,,,Peru,"The crop shows a vertical red band on the left next to a white band, matching Peru's red-white-red vertical tricolor.",True,True,correct,,
peru__idx184__t09_l13_h04_w06,peru__idx184__t09_l13_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx184__t09_l13_h04_w06.png,narrow,3,France | Italy | Peru,,Peru,The flag has vertical stripes of red and white.,True,True,correct,,,Peru,"The crop shows a vertical red-white-red triband, which matches the flag of Peru among the allowed options.",True,True,correct,,
peru__idx242__t12_l14_h04_w06,peru__idx242__t12_l14_h04_w06|3,Peru,results/flag_game/visual_only_paired_crop_audit/artifacts/peru__idx242__t12_l14_h04_w06.png,narrow,3,France | Italy | Peru,,Peru,The flag has vertical stripes of white and red.,True,True,correct,,,Peru,"The crop shows a vertical white band next to a vertical red band, matching Peru's red-white-red flag.",True,True,correct,,
russia__idx018__t00_l18_h04_w06,russia__idx018__t00_l18_h04_w06|3,Russia,results/flag_game/visual_only_paired_crop_audit/artifacts/russia__idx018__t00_l18_h04_w06.png,ambiguous,18,Austria | Bulgaria | Cote d'Ivoire | Estonia | France | Hungary | Ireland | Italy | Luxembourg | Netherlands | Nigeria | Peru | Russia | Sierra Leone | Yemen | Czech Republic | Palestine | Sudan,,Nigeria,The flag has a vertical green and white stripe pattern.,False,True,compatible,,,Austria,"The crop shows a plain white horizontal band, which matches the middle stripe of Austria's red-white-red flag.",False,True,compatible,,
russia__idx139__t07_l06_h04_w06,russia__idx139__t07_l06_h04_w06|3,Russia,results/flag_game/visual_only_paired_crop_audit/artifacts/russia__idx139__t07_l06_h04_w06.png,unique,1,Russia,,Russia,"The flag has a blue and red stripe, which matches the Russian flag.",True,True,correct,,,Armenia,"The crop shows horizontal bands of blue over red, matching the middle and bottom stripes of Armenia's red-blue-orange tricolor.",False,False,off_cache,,
sierra_leone__idx047__t02_l09_h04_w06,sierra_leone__idx047__t02_l09_h04_w06|3,Sierra Leone,results/flag_game/visual_only_paired_crop_audit/artifacts/sierra_leone__idx047__t02_l09_h04_w06.png,unique,1,Sierra Leone,,Nigeria,"The flag has a green stripe, which is part of Nigeria's flag.",False,False,off_cache,,,Nigeria,"The crop shows a green-white-green vertical tricolor pattern, matching the flag of Nigeria.",False,False,off_cache,,
sierra_leone__idx149__t07_l16_h04_w06,sierra_leone__idx149__t07_l16_h04_w06|3,Sierra Leone,results/flag_game/visual_only_paired_crop_audit/artifacts/sierra_leone__idx149__t07_l16_h04_w06.png,narrow,2,Netherlands | Sierra Leone,,Estonia,"The flag has a blue stripe at the bottom, which matches Estonia's flag colors.",False,False,off_cache,,,Ukraine,"The crop shows a white upper area with a blue horizontal band at the bottom, matching the blue-and-yellow horizontal layout of Ukraine when only the lower stripe is visible.",False,False,off_cache,,
sierra_leone__idx226__t11_l17_h04_w06,sierra_leone__idx226__t11_l17_h04_w06|3,Sierra Leone,results/flag_game/visual_only_paired_crop_audit/artifacts/sierra_leone__idx226__t11_l17_h04_w06.png,ambiguous,10,Armenia | Chad | Estonia | France | Gabon | Netherlands | Russia | Sierra Leone | Ukraine | Czech Republic,,Ukraine,"The flag of Ukraine has a blue stripe, which matches the color seen in the crop.",False,True,compatible,,,Estonia,"The crop shows a solid blue horizontal band at the top, matching the top stripe of Estonia's blue-black-white flag.",False,True,compatible,,
sudan__idx126__t06_l12_h04_w06,sudan__idx126__t06_l12_h04_w06|3,Sudan,results/flag_game/visual_only_paired_crop_audit/artifacts/sudan__idx126__t06_l12_h04_w06.png,ambiguous,18,Austria | Bulgaria | Cote d'Ivoire | Estonia | France | Hungary | Ireland | Italy | Luxembourg | Netherlands | Nigeria | Peru | Russia | Sierra Leone | Yemen | Czech Republic | Palestine | Sudan,,France,"The flag has a vertical blue stripe, which is part of the French flag.",False,True,compatible,,,Austria,"The crop shows a plain white horizontal band, which matches the middle stripe of Austria's red-white-red flag.",False,True,compatible,,
sudan__idx180__t09_l09_h04_w06,sudan__idx180__t09_l09_h04_w06|3,Sudan,results/flag_game/visual_only_paired_crop_audit/artifacts/sudan__idx180__t09_l09_h04_w06.png,unique,1,Sudan,,Sudan,The flag has a green triangle on the left side.,True,True,correct,,,Sudan,"The crop shows a green triangle at the hoist with horizontal white and black bands, matching the Sudanese flag.",True,True,correct,,
sudan__idx185__t09_l14_h04_w06,sudan__idx185__t09_l14_h04_w06|3,Sudan,results/flag_game/visual_only_paired_crop_audit/artifacts/sudan__idx185__t09_l14_h04_w06.png,narrow,2,Yemen | Sudan,,Yemen,"The flag has a horizontal black stripe, which matches Yemen's flag colors.",False,True,compatible,,,Luxembourg,"The crop shows a white horizontal band above a darker lower band, matching the middle white stripe over the blue stripe of Luxembourg.",False,False,off_cache,,
